,0
62,"""ESTs, Highly similar to DMR-N9 PROTEIN [H.sapiens]"""
63,"""POU6F1 POU homeobox protein"""
64,"""ESTs"""
65,"""No cluster in current Unigene and no Genbank entry for R53092 (qualifier R53092)"""
66,"""EPS15 Epidermal growth factor receptor pathway substrate 15"""
67,"""METALLOPROTEINASE INHIBITOR 3 PRECURSOR"""
68,"""ESTs, Highly  similar to CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II GAMMA CHAIN [Rattus norvegicus]"""
69,"""FPRL2 Formyl peptide receptor-like 1"""
70,"""TRANSCRIPTION INITIATION FACTOR TFIID 250 KD SUBUNIT"""
71,"""ESTs, Highly  similar to KININOGEN, LMW PRECURSOR [Homo sapiens]"""
72,"""No cluster in current Unigene and no Genbank entry for R93738 (qualifier R93738_i)"""
73,"""ERYTHROCYTE PLASMA MEMBRANE 50 KD GLYCOPROTEIN"""
74,"""ESTs"""
75,"""EST"""
76,"""No cluster in current Unigene and no Genbank entry for T48161 (qualifier T48161)"""
77,"""No cluster in current Unigene and no Genbank entry for T50211 (qualifier T50211)"""
78,"""AFP Alpha-fetoprotein"""
79,"""No cluster in current Unigene and no Genbank entry for T60456 (qualifier T60456_f)"""
80,"""HEAT SHOCK 70 KD PROTEIN 1"""
81,"""No cluster in current Unigene and no Genbank entry for T68979 (qualifier T68979_i)"""
82,"""IGF2 Insulin-like growth factor 2 (somatomedin A)"""
83,"""ESTs"""
84,"""ESTs"""
85,"""Inducible poly(A)-binding protein mRNA"""
86,"""No cluster in current Unigene and no Genbank entry for T95095 (qualifier T95095)"""
87,"""ATP1AL1 ATP-driven ion pump"""
88,"""HGL Heregulin alpha"""
89,"""Hyaluronoglucosaminidase 1 (HYAL1) mRNA"""
90,"""Cyclooxygenase-2 (hCox-2) gene"""
91,"""GABPA GA-binding protein transcription factor, alpha subunit (60kD)"""
92,"""STD Sulfotransferase, dehydroepiandrosterone (DHEA) -preferring"""
93,"""Transmembrane protein mRNA"""
94,"""Cockayne syndrome complementation group A CSA protein (CSA) mRNA"""
95,"""Beta-sarcoglycan A3b mRNA"""
96,"""Tryptophan oxygenase (TDO) mRNA"""
97,"""Glycine receptor beta subunit (GLRB) mRNA"""
98,"""PROS1 Plasma protein S """
99,"""MYF5 Myogenic factor 5"""
100,"""No cluster in current Unigene and no Genbank entry for X15722 (qualifier X15722)"""
101,"""NKG2-A AND NKG2-B TYPE II INTEGRAL MEMBRANE PROTEINS"""
102,"""D13S106 mRNA for a highly charged amino acid sequene"""
103,"""HOX4C mRNA for a homeobox protein"""
104,"""ERYTHROCYTE PLASMA MEMBRANE 50 KD GLYCOPROTEIN"""
105,"""NDP Norrie disease (pseudoglioma) protein"""
106,"""No cluster in current Unigene and no Genbank entry for X76104 (qualifier X76104)"""
107,"""PPH beta subunit protein"""
108,"""GLUTAMATE RECEPTOR 3 PRECURSOR"""
109,"""Partial mRNA for hair keratin acidic 3-II"""
110,"""BS69 protein"""
111,"""UDP-GLUCURONOSYLTRANSFERASE 2B4 PRECURSOR, MICROSOMAL"""
112,"""MDM2 Mouse double minute 2, human homolog of; p53-binding protein"""
113,"""P18 mRNA"""
114,"""Delta 4-3-oxosteroid 5 beta-reductase"""
115,"""CDO1 Cysteine dioxygenase, type 1"""
116,"""FGL1 Fibrinogen-like 1"""
