Gene Description	Gene Accession Number	HL60_0_hrs	call	HL60_0.5_hrs	call	HL60_4_hrs	call	HL60_24_hrs	call	U937_0_hrs	call	U937_0.5_hrs	call	U937_4_hrs	call	U937_24_hrs	call	NB4_0_hrs	call	NB4_5.5_hrs	call	NB4_24_hrs	call	NB4_48_hrs	call	NB4_72_hrs	call	Jurkat_0_hrs	call	Jurkat_0.5_hrs	call	Jurkat_4_hrs	call	Jurkat_24_hrs	call
"CRK V-crk avian sarcoma virus CT10 oncogene homolog"	D10656	12	A	6	A	3	A	11	A	2	A	2	A	7	A	4	A	14	A	9	A	0	A	6	A	1	A	7	A	5	A	10	A	8	A
"CHK Choline kinase "	D10704	47	P	67	P	32	A	74	P	15	P	60	P	36	P	22	P	35	P	45	P	43	P	71	P	75	P	44	P	22	P	20	A	23	A
"AAC2 Arylamine N-acetyltransferase, liver"	D10872	-1	A	0	A	2	A	4	A	-8	A	-4	A	-1	A	-2	A	5	A	3	A	0	A	4	A	-1	A	-2	A	-3	A	-3	A	3	A
"FPRL2 Formyl peptide receptor-like 2"	D10922	1	A	-11	A	3	A	-7	A	1	A	2	A	0	A	-2	A	0	A	-4	A	26	A	76	P	97	P	0	A	7	A	3	A	2	A
"PROBABLE G PROTEIN-COUPLED RECEPTOR HM74"	D10923	6	A	7	A	3	A	9	A	-4	A	1	A	2	A	-4	A	1	A	5	A	17	M	45	P	87	P	10	A	1	A	4	A	5	A
"PROBABLE G PROTEIN-COUPLED RECEPTOR LCR1 HOMOLOG"	D10924	105	P	130	P	36	P	998	P	131	P	227	P	23	P	47	P	87	P	186	P	159	P	100	P	109	P	486	P	577	P	470	P	281	P
"CMKBR1 Chemokine (C-C) receptor 1"	D10925	-3	A	-1	A	8	A	48	P	2	A	50	P	1	A	34	P	1	A	4	A	41	P	59	P	150	P	-4	A	0	A	-3	A	1	A
"IL2RG Interleukin 2 receptor gamma chain"	D11086	39	P	90	A	61	P	107	P	169	P	157	P	198	P	189	P	97	P	57	P	93	P	112	P	115	P	271	P	246	P	403	P	429	P
"26S PROTEASE REGULATORY SUBUNIT 7"	D11094_f	22	P	72	P	81	P	37	P	13	P	50	P	54	P	58	P	33	P	37	P	132	P	89	P	100	P	124	P	87	P	116	P	95	P
"26S PROTEASE REGULATORY SUBUNIT 7"	D11094_i	0	A	5	A	0	A	3	A	-3	A	-4	A	2	A	8	A	-6	A	4	A	1	A	-12	A	0	A	-1	A	14	A	7	A	0	A
"TIMP1 Tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)"	D11139	8	A	10	A	0	A	-6	A	-6	A	-1	A	0	A	-2	A	-6	A	-4	A	1	A	-8	A	-4	A	-8	A	1	A	4	A	-4	A
"PTPN7 Protein tyrosine phosphatase, non-receptor type 7"	D11327_i	28	P	48	P	30	P	29	P	36	P	54	P	17	P	28	A	3	A	42	P	32	P	21	P	35	P	44	P	58	A	96	P	101	P
"PTPN7 Protein tyrosine phosphatase, non-receptor type 7"	D11327_r	-4	A	38	A	7	A	19	P	34	A	59	P	41	A	47	A	5	A	41	P	25	A	4	A	31	P	28	M	52	P	75	P	52	P
"PMP22 Peripheral myelin protein 22"	D11428_i	39	P	49	P	18	P	7	A	0	A	2	A	0	A	12	A	0	A	1	A	3	A	1	A	3	A	7	A	2	A	6	A	14	A
"PMP22 Peripheral myelin protein 22"	D11428_r	32	P	47	P	16	P	31	P	3	A	1	A	4	A	-1	A	1	A	3	A	1	A	-3	A	-2	A	3	A	6	A	7	A	4	A
"XDH Xanthine dehydrogenase"	D11456	4	A	-3	A	9	A	3	A	3	A	-2	A	2	A	8	A	2	A	0	A	7	A	-1	A	6	A	4	A	-3	A	-2	A	12	A
"PIGA Phosphatidylinositol glycan, class A (paroxysmal nocturnal hemoglobinuria)"	D11466	11	P	12	P	18	P	13	P	13	P	21	P	38	P	9	A	9	A	7	A	13	P	13	A	22	P	14	A	23	P	32	P	25	P
"LTB4H Leukotriene B4 omega hydroxylase (cytochrome P450, subfamily IVF)"	D12620	0	A	-1	A	0	A	2	A	-2	A	-3	A	6	A	1	A	7	A	7	A	0	A	8	A	1	A	2	A	3	A	2	A	6	A
"NF1 Neurofibromin"	D12625	3	A	2	A	-2	A	9	A	0	A	0	A	-4	A	-7	A	5	A	-2	A	0	A	-1	A	-3	A	0	A	1	A	-2	A	2	A
"Lysosomal sialoglycoprotein"	D12676	-4	A	0	A	-1	A	0	A	-3	A	3	A	2	A	18	P	-3	A	5	A	2	A	-1	A	3	A	2	A	0	A	-5	A	0	A
"EIF4G Eukaryotic translation initiation factor 4 (eIF-4) gamma"	D12686_r	365	P	594	P	234	P	148	M	19	A	80	P	46	P	32	A	180	P	47	A	70	M	120	P	87	P	99	A	230	P	166	P	106	P
"ETV4 Ets variant gene 4 (E1A enhancer-binding protein, E1AF)"	D12765_i	-158	A	-480	A	-112	A	-238	A	-27	A	-7	A	-7	P	-33	A	39	P	-84	A	-68	A	-44	M	-73	A	-42	M	-75	A	-41	A	-29	P
"ETV4 Ets variant gene 4 (E1A enhancer-binding protein, E1AF)"	D12765_r	195	M	178	A	111	M	189	A	33	A	56	A	23	A	41	P	105	P	114	P	209	A	65	A	57	A	172	P	60	A	74	A	109	P
"DPEP1 Dipeptidase 1 (renal)"	D13138	30	P	60	P	29	P	24	A	7	P	10	P	9	A	8	A	21	P	15	A	30	P	35	P	13	A	26	P	9	M	18	A	18	P
"EDNRB Endothelin receptor type B"	D13168	1	A	-1	A	-2	A	-3	A	0	A	1	A	2	A	3	A	0	A	9	A	12	A	1	A	-1	A	0	A	3	A	4	A	0	A
"PKLR Pyruvate kinase, liver"	D13243	68	P	121	P	75	M	120	P	9	P	8	M	21	M	29	P	10	P	22	A	51	A	45	P	52	P	35	M	38	A	43	M	9	A
"SDC4 Syndecan 4 (amphiglycan, ryudocan)"	D13292_i	48	P	77	M	39	A	82	P	16	A	26	A	43	P	44	P	23	A	17	P	24	P	34	P	27	P	52	P	67	P	44	P	68	P
"SDC4 Syndecan 4 (amphiglycan, ryudocan)"	D13292_r	-6	A	129	M	53	A	-83	A	8	A	14	A	-32	A	19	A	-19	A	14	A	-49	A	30	A	20	P	65	A	90	M	67	A	109	A
"CCKBR Cholecystokinin B receptor"	D13305	-1	A	-1	A	4	A	-7	A	4	A	-2	A	-3	A	12	A	3	A	-8	A	6	A	14	A	11	A	-3	A	12	A	5	A	-2	A
"GLO1 Glyoxalase I"	D13315_i	829	P	1157	P	1044	P	783	P	332	P	626	P	690	P	618	P	163	P	156	P	114	P	93	P	92	P	251	P	242	P	235	P	161	P
"GLO1 Glyoxalase I"	D13315_r	1113	P	1939	P	1526	P	1072	P	531	P	1048	P	1080	P	1038	P	282	P	297	P	133	P	234	P	177	P	450	P	315	P	354	P	288	P
"PTPN11 Protein tyrosine phosphatase, non-receptor type 11"	D13540	2	A	2	A	11	A	15	A	3	A	1	A	1	A	5	A	-3	A	2	A	2	A	1	A	0	A	0	A	1	A	3	A	-1	A
"KIAA0001 gene"	D13626	9	A	-4	A	6	A	-8	A	-1	A	2	A	1	A	-3	A	-1	A	7	A	6	A	1	A	5	A	-2	A	5	A	-4	A	1	A
"KIAA0002 gene"	D13627_f	1105	P	831	P	1615	P	1110	P	213	P	110	P	210	P	211	P	321	P	472	P	384	P	355	P	368	P	1012	P	545	P	746	P	725	P
"ANGPT1 Angiopoietin 1"	D13628	-1	A	-10	A	2	A	8	A	-3	A	-1	A	0	A	2	A	5	A	1	A	-8	A	1	A	4	A	0	A	1	A	-3	A	2	A
"KIAA0005 gene"	D13630	353	P	311	P	467	P	343	P	26	P	45	P	47	P	38	P	153	P	189	P	145	P	179	P	167	P	220	P	181	P	423	P	368	P
"KIAA0008 gene"	D13633	36	P	50	P	75	P	34	P	20	P	4	A	11	P	-3	A	17	P	99	P	38	P	46	P	40	P	130	P	53	P	133	P	145	P
"KIAA0009 gene"	D13634	130	P	106	A	-18	A	88	A	40	P	22	A	68	P	31	P	16	P	80	M	39	A	32	A	85	P	56	P	79	P	83	P	65	P
"KIAA0010 gene"	D13635_i	105	P	139	P	84	P	107	P	7	A	2	A	6	A	7	A	42	P	87	P	66	P	69	P	76	P	31	P	32	P	29	P	30	P
"KIAA0010 gene"	D13635_r	17	A	41	P	42	P	36	P	3	A	-1	A	2	A	6	A	18	P	46	P	30	P	36	P	32	P	17	P	7	A	8	P	17	A
"KIAA0011 gene"	D13636	93	P	93	P	85	P	57	P	11	A	9	A	18	A	8	A	57	P	54	P	45	P	58	P	55	P	77	P	77	P	74	P	57	P
"KIAA0012 gene"	D13637	3	A	13	A	19	M	22	P	-2	A	3	A	1	A	5	A	2	A	5	A	14	P	30	P	131	P	3	A	11	A	1	A	6	A
"No cluster in current Unigene and no Genbank entry for D13638 (qualifier D13638)"	D13638	11	P	14	A	12	P	2	A	8	A	0	A	4	A	5	A	-4	A	6	A	5	A	1	A	-2	A	9	A	-3	A	3	A	3	A
"CCND2 Cyclin D2"	D13639	262	P	391	P	341	P	47	P	115	P	212	P	125	P	15	A	498	P	109	P	215	P	179	P	343	P	1	A	4	A	8	A	-2	A
"HLA-C Major histocompatibility complex, class I, C"	D13640	19	A	13	M	15	P	23	A	6	A	8	A	14	A	25	P	7	A	11	A	18	A	7	A	31	P	28	P	17	M	13	A	23	P
"KIAA0016 gene"	D13641_f	363	P	435	P	403	P	204	P	36	P	44	P	64	P	26	P	176	P	79	P	46	P	43	P	63	P	149	P	116	P	131	P	71	P
"KIAA0016 gene"	D13641_i	119	P	111	P	144	P	76	P	4	A	0	A	1	A	10	A	30	P	24	P	27	P	21	P	15	A	51	P	31	P	29	P	20	P
"KIAA0016 gene"	D13641_r_i	83	P	39	P	100	P	31	P	10	A	2	A	3	A	7	A	39	P	21	A	18	A	16	A	8	A	41	P	29	P	33	P	16	A
"KIAA0017 gene"	D13642_f	16	P	13	A	16	M	20	A	-1	A	0	A	2	A	1	A	13	A	1	A	3	A	2	A	5	A	3	A	-3	A	-3	A	6	A
"KIAA0017 gene"	D13642_i	8	M	-217	A	147	M	-33	A	-26	A	24	A	14	A	-3	A	12	P	-45	A	-12	A	-68	A	-11	A	-66	A	48	A	-41	A	-50	A
"KIAA0017 gene"	D13642_r_i	58	A	232	P	-12	A	79	P	22	A	29	A	18	A	-2	A	36	A	63	A	124	A	18	A	74	A	80	M	89	A	61	A	113	P
"KIAA0018 gene"	D13643	154	P	122	P	163	P	16	M	10	A	6	A	11	A	4	A	56	P	23	P	53	P	52	P	87	P	96	P	44	P	79	P	72	P
"40S RIBOSOMAL PROTEIN S17"	D13644	-5	A	-3	A	-14	A	0	A	1	A	0	A	0	A	1	A	-3	A	-4	A	7	A	0	A	-1	A	4	A	5	A	6	A	10	A
"KIAA0020 gene"	D13645	175	P	160	P	242	P	53	P	31	P	51	P	55	P	15	A	98	P	127	P	121	P	73	P	66	P	161	P	140	P	132	P	77	P
"Osteoblast specific factor 2 (OSF-2p1)"	D13665	-1	A	5	A	2	A	-2	A	1	A	-4	A	4	A	-1	A	-1	A	0	A	-8	A	1	A	7	A	-4	A	-1	A	2	A	0	A
"Fatty acids omega-hydroxylase (cytochrome P-450HKV)"	D13705	108	P	258	P	241	P	430	P	159	P	142	P	181	P	228	P	96	P	47	P	129	P	206	P	155	P	212	P	203	P	220	P	292	P
"MGAT3 Mannosyl(beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase"	D13789	-5	A	-16	A	-13	A	3	A	2	A	-3	A	5	A	-16	A	1	A	-11	A	13	A	24	A	10	A	-19	A	-5	A	2	A	12	A
"ID2 Inhibitor of DNA binding 2, dominant negative helix-loop-helix protein"	D13891	0	A	4	A	1	A	90	P	131	P	150	P	134	P	190	P	7	A	16	P	86	P	120	P	157	P	8	A	-5	A	0	A	24	P
"PYY Peptide YY"	D13902	72	A	429	M	74	A	86	A	15	A	16	M	41	M	13	A	23	M	79	A	113	A	42	A	62	A	50	A	18	A	50	A	47	A
"DNA-BINDING PROTEIN MEL-18"	D13969	2	A	-6	A	-7	A	-7	A	-1	A	-13	A	-8	A	-9	A	-5	A	-13	A	-8	A	-20	A	-13	A	7	A	-3	A	3	A	-4	A
"PUTATIVE MUCIN CORE PROTEIN PRECURSOR 24"	D14043	42	P	78	P	87	P	136	P	43	P	536	P	239	P	1159	P	182	P	205	P	334	P	395	P	706	P	194	P	172	P	276	P	415	P
"RECA Replication protein A (E coli RecA homolog, RAD51 homolog)"	D14134	8	A	12	A	4	A	9	A	1	A	7	A	4	A	-1	A	1	A	1	A	2	A	4	A	3	A	15	A	7	A	0	A	9	A
"GC-Box binding protein BTEB2"	D14520	1	A	16	A	24	A	9	A	10	A	11	A	-3	A	43	A	4	A	9	A	27	A	20	A	26	A	52	P	55	P	53	P	58	A
"LTG19"	D14539	-12	A	-9	A	1	A	-14	A	-5	A	-5	A	-4	A	0	A	-2	A	-7	A	4	A	-3	A	3	A	-6	A	-7	A	-7	A	-8	A
"EPIM Epimorphin"	D14582	5	A	9	A	1	A	10	A	9	A	9	A	9	A	4	A	6	A	5	A	9	A	8	A	2	A	12	A	13	A	7	A	12	A
"KIAA0101 gene"	D14657	564	P	527	P	623	P	307	P	450	P	426	P	476	P	49	P	794	P	1007	P	1096	P	934	P	827	P	726	P	857	P	720	P	642	P
"KIAA0102 gene"	D14658	279	P	191	P	163	P	111	P	59	P	85	P	71	P	61	P	120	P	144	P	185	P	72	P	175	P	103	P	162	P	127	P	132	P
"KIAA0103 gene"	D14659	57	P	54	P	58	P	24	A	38	P	32	P	26	P	17	P	15	P	34	P	31	P	25	P	45	P	26	P	35	P	35	P	17	P
"PUTATIVE 60S RIBOSOMAL PROTEIN"	D14660	38	P	49	P	49	P	3	A	22	P	26	P	32	P	10	A	21	P	23	P	35	P	12	A	26	P	20	P	29	P	24	P	14	P
"KIAA0105 gene"	D14661	77	P	40	P	77	P	22	A	16	P	46	P	49	P	9	A	70	P	136	P	141	P	66	P	118	P	46	P	77	P	62	P	68	P
"KIAA0106 gene"	D14662	997	P	934	P	663	P	698	P	254	P	618	P	421	P	130	P	555	P	402	P	334	P	427	P	253	P	285	P	183	P	183	P	163	P
"KIAA0107 gene"	D14663	292	P	426	P	502	P	242	P	308	P	572	P	594	P	269	P	193	P	293	P	213	P	189	P	165	P	383	P	369	P	334	P	400	P
"KIAA0022 gene"	D14664	175	P	151	P	90	P	25	P	8	A	3	A	8	A	1	A	50	P	32	P	46	A	33	P	41	P	15	A	5	A	13	A	4	A
"KIAA0021 gene"	D14665	110	P	80	P	138	P	167	P	17	P	17	P	26	P	142	P	32	P	43	P	43	P	50	P	74	P	52	P	45	P	44	P	31	P
"Kinesin-related protein, partial cds"	D14678	26	P	32	P	33	P	10	A	19	P	22	P	27	P	6	A	0	A	11	A	11	A	14	A	8	A	41	P	44	P	35	P	25	P
"AMT Glycine cleavage system protein T (aminomethyltransferase)"	D14686	10	A	36	A	16	A	23	A	7	A	12	A	12	A	8	A	2	A	22	A	32	A	1	A	3	A	13	A	11	A	4	A	13	A
"NUCLEAR PORE COMPLEX PROTEIN NUP214"	D14689	54	P	72	P	49	P	189	P	4	A	9	A	18	A	40	P	22	P	28	A	46	P	42	P	58	P	27	P	43	P	32	P	21	P
"PHOSPHATIDYLSERINE SYNTHASE I"	D14694	79	P	-12	P	145	P	14	P	14	P	57	P	54	P	11	P	23	P	9	A	35	P	28	P	16	P	14	P	49	P	35	P	21	P
"APOA2 Apolipoprotein A-II"	D14695	54	P	52	P	116	P	101	P	1	A	0	A	4	A	16	P	14	P	51	P	31	P	34	P	33	P	43	P	34	P	21	P	19	P
"KIAA0108 gene"	D14696	109	P	139	P	116	P	252	P	133	P	196	P	179	P	183	P	190	P	233	P	171	P	156	P	268	P	159	P	190	P	183	P	163	P
"Receptor protein-tyrosine kinase (HEK5) mRNA, 3' end"	D14717	4	A	-28	A	-11	A	5	A	-6	A	-5	A	-3	A	6	A	3	A	-36	A	-13	A	3	A	-9	A	-4	A	-1	A	-13	A	-9	A
"KIAA0110 gene"	D14811	46	P	66	P	74	P	39	P	61	P	80	P	100	P	65	P	42	P	87	P	67	P	70	P	97	P	43	P	71	P	90	P	70	P
"KIAA0026 gene"	D14812	803	P	486	P	466	P	397	P	147	P	216	P	278	P	189	P	356	P	444	P	448	P	410	P	395	P	814	P	777	P	962	P	485	P
"No cluster in current Unigene and no Genbank entry for D14822 (qualifier D14822)"	D14822	-2	A	1	A	2	A	-3	A	-3	A	1	A	8	A	16	A	-2	A	14	A	3	A	1	A	1	A	0	A	2	A	-6	A	1	A
"No cluster in current Unigene and no Genbank entry for D14823 (qualifier D14823)"	D14823	11	A	0	A	1	A	2	A	-1	A	5	A	0	A	7	A	11	A	11	A	7	A	5	A	-3	A	8	A	11	P	5	A	-3	A
"FGF9 Fibroblast growth factor 9 (glia-activating factor)"	D14838	5	A	-11	A	5	A	16	A	1	A	-1	A	0	A	-3	A	12	A	-1	A	18	A	14	A	7	A	41	P	45	P	36	P	24	P
"ADM Adrenomedullin"	D14874	-7	A	3	A	2	A	265	P	-1	A	-2	A	-10	A	23	P	6	A	-3	A	88	P	79	P	152	P	62	P	-8	A	523	P	87	P
"Adult tooth pulp of third molar fibroblast mRNA for MSX-2"	D14970	15	P	70	P	10	A	46	P	16	P	8	P	14	A	16	A	13	P	30	P	44	P	40	P	51	P	25	P	17	P	14	P	15	P
"PTPRH Protein tyrosine phosphatase"	D15049	7	A	6	A	7	A	6	A	21	P	9	A	14	A	6	M	7	P	7	A	11	P	11	A	18	P	8	A	27	P	7	A	25	P
"Transcription factor AREB6"	D15050	5	A	5	A	5	A	8	A	5	A	9	A	2	A	7	A	9	A	13	A	5	A	0	A	5	A	-1	A	2	A	5	A	5	A
"TBXA2R Thromboxane A2 receptor"	D15056	40	P	42	P	29	P	37	P	6	A	7	P	10	P	9	P	6	A	2	A	4	A	3	A	3	A	9	A	2	A	10	P	23	P
"DEFENDER AGAINST CELL DEATH 1"	D15057	105	P	131	P	151	P	195	P	110	P	166	P	110	P	197	P	59	P	76	P	60	P	82	P	62	P	172	P	183	P	171	P	292	P
"PBP Prostatic binding protein"	D16111	170	P	231	P	145	P	17	P	350	P	540	P	660	P	164	P	345	P	407	P	179	P	160	P	90	P	355	P	340	P	285	P	157	P
"HPCAL1 Hippocalcin-like 1"	D16227	62	P	25	M	137	P	691	P	32	A	90	P	38	P	119	P	8	A	54	P	130	P	78	P	70	P	18	A	23	A	48	P	73	P
"3-KETOACYL-COA THIOLASE MITOCHONDRIAL"	D16294	97	P	49	P	73	P	35	P	39	P	43	P	67	P	45	P	34	P	42	P	45	P	54	P	66	P	77	P	63	P	80	P	74	P
"SA mRNA for SA gene product"	D16350	0	A	-1	A	0	A	6	A	3	A	-2	A	0	A	1	A	3	A	-9	A	5	A	6	A	-1	A	9	A	-5	A	1	A	7	A
"GPX3 Glutathione peroxidase 3 (plasma)"	D16362	-32	A	-32	A	-28	A	-26	A	-29	A	-13	A	-44	A	-25	A	-27	A	-36	A	-31	A	-14	A	-31	A	-38	A	-32	A	-25	A	-25	A
"Hepatoma-derived growth factor"	D16431	1014	P	1074	P	847	P	403	P	301	P	715	P	551	P	141	P	707	P	488	P	562	P	634	P	541	P	594	P	582	P	483	P	385	P
"ORF, Xq terminal portion"	D16469	173	P	198	P	185	P	511	P	35	P	36	P	68	P	103	P	73	P	74	P	57	P	152	P	249	P	105	P	81	P	69	P	102	P
"Mitochondrial 3-ketoacyl-CoA thiolase beta-subunit of trifunctional protein"	D16481	98	P	82	P	91	P	90	P	217	P	218	P	237	P	278	P	224	P	202	P	209	P	176	P	235	P	124	P	142	P	155	P	212	P
"VLDLR Very low density lipoprotein receptor"	D16532	9	A	4	A	3	A	-9	A	10	A	8	A	5	A	9	A	10	A	-2	A	4	A	2	A	-1	A	6	A	10	A	10	A	8	A
"MTH1 MutT (E. coli) human homolog (8-oxo-7,8-dihydroguanosine triphosphatase)"	D16581	45	P	54	P	52	P	23	P	84	P	109	P	104	P	34	P	57	P	83	P	45	P	40	P	25	P	178	P	154	P	132	P	142	P
"HPCA Hippocalcin"	D16593	-18	A	2	A	-1	A	-22	A	1	A	2	A	1	A	-3	A	3	A	2	A	2	A	-1	A	-1	A	4	A	-5	A	-8	A	1	A
"HAL Histidine ammonia-lyase"	D16626	25	P	46	P	24	P	3	A	8	A	9	A	11	A	17	P	5	A	6	A	6	A	11	A	3	A	10	A	10	A	9	A	4	A
"MDC protein"	D17390	47	A	21	A	26	A	23	A	13	A	29	A	53	A	17	A	18	A	40	A	15	A	28	A	30	A	29	A	32	A	29	A	32	A
"Alpha 4(IV) collagen, C-terminal"	D17391	-2	A	1	A	5	A	3	A	2	A	0	A	-1	A	3	A	-1	A	0	A	6	A	1	A	0	A	-2	A	-6	A	6	A	1	A
